pitch_m,head_radius_m,gap_m,best_pair_i,best_pair_j
0.45033569335937507,4.7762735896915585,0.020051687576888383,0,20
0.45033569335937507,4.774281317640693,0.020926247700342182,0,20
0.45033569335937507,4.772289045589827,0.021829904032153624,0,20
0.45033569335937507,4.770296773538961,0.022762681210266728,0,20
0.45033569335937507,4.768304501488095,0.02372460372719168,0,20
0.45033569335937507,4.766312229437229,0.02471569592908099,0,20
0.45033569335937507,4.7643199573863635,0.025735982014979314,0,20
0.45033569335937507,4.745942826704546,0.0361328367224058,3,23
0.45033569335937507,4.727565696022728,0.035751562292358346,4,24
0.45033569335937507,4.725569505706739,0.035832335323724235,4,24
0.45033569335937507,4.72357331539075,0.03594019820621766,4,24
0.45033569335937507,4.721577125074761,0.03582969855854093,0,17
0.45033569335937507,4.719580934758772,0.03441081494133971,0,17
0.45033569335937507,4.717584744442783,0.03302044415561367,0,17
0.45033569335937507,4.715588554126795,0.031658625183941136,0,17
0.45033569335937507,4.713592363810806,0.030325396909450714,0,17
0.45033569335937507,4.711596173494817,0.029020798115162783,0,17
0.45033569335937507,4.709599983178828,0.02774486748287644,0,17
0.45033569335937507,4.707603792862839,0.026497643592596903,0,17
0.45033569335937507,4.70560760254685,0.025279164921514857,0,17
0.45033569335937507,4.703611412230861,0.024089469843179195,0,17
0.45033569335937507,4.701615221914873,0.02292859662677066,0,17
0.45033569335937507,4.699619031598884,0.02179658343612237,0,17
0.45033569335937507,4.697622841282895,0.02069346832887123,0,17
0.45033569335937507,4.696754261363637,0.02022251450056914,0,17
0.45033569335937507,4.695626650966906,0.01961928925563819,0,17
0.45033569335937507,4.693630460650917,0.018574084059201856,0,17
0.45033569335937507,4.691634270334928,0.017557890473526405,0,17
0.45033569335937507,4.6896380800189394,0.016570746123009045,0,17
0.45033569335937507,4.687641889702951,0.015612688521460943,0,17
0.45033569335937507,4.685645699386962,0.014683755071430077,0,17
0.45033569335937507,4.683649509070973,0.013783983063119815,0,17
0.45033569335937507,4.681653318754984,0.012913409673633996,0,17
0.45033569335937507,4.679657128438995,0.012072071966073655,0,17
0.45033569335937507,4.677660938123006,0.011260006888587748,0,17
0.45033569335937507,4.6756647478070175,0.010477251273576405,0,17
0.45033569335937507,4.673668557491029,0.009723841836669106,0,17
0.45033569335937507,4.67167236717504,0.00899981517598547,0,17
0.45033569335937507,4.669676176859051,0.00830520777106361,0,17
0.45033569335937507,4.667679986543063,0.007640055982069405,0,17
0.45033569335937507,4.665683796227074,0.007004396048920614,0,17
0.45033569335937507,4.663687605911085,0.0063982640902116306,0,17
0.45033569335937507,4.661691415595096,0.005821696102440321,0,17
0.45033569335937507,4.6596952252791075,0.005274727959064834,0,17
0.45033569335937507,4.657699034963119,0.0047573954095360416,0,17
0.45033569335937507,4.65570284464713,0.0042697340784160764,0,17
0.45033569335937507,4.653706654331141,0.003811779464452242,0,17
0.45033569335937507,4.651710464015152,0.0033835669396005408,0,17
0.45033569335937507,4.649714273699163,0.0029851317481302264,0,17
0.45033569335937507,4.647718083383174,0.002616509005684803,0,17
0.45033569335937507,4.647565696022728,0.0025895944711483987,0,17
0.45033569335937507,4.6457218930671855,0.002277733698314105,0,17
0.45033569335937507,4.643725702751197,0.0019688406815691617,0,17
0.45033569335937507,4.641729512435208,0.001689864679501163,0,17
0.45033569335937507,4.639733322119219,0.00144084028377639,0,17
0.45033569335937507,4.63773713180323,0.0012218019526604451,0,17
0.45033569335937507,4.635740941487241,0.001032784010111365,0,17
0.45033569335937507,4.633744751171252,0.0008738206447739538,0,17
0.45033569335937507,4.6317485608552635,0.0007449459090290989,0,17
0.45033569335937507,4.629752370539275,0.0006461937180380073,0,17
0.45033569335937507,4.627756180223286,0.0005775978487853328,0,17
0.45033569335937507,4.625759989907297,0.0005391919390478617,0,17
0.45033569335937507,4.623763799591308,0.0005310094864875714,0,17
0.45033569335937507,4.621767609275319,0.0005530838476029143,0,17
0.45033569335937507,4.61977141895933,0.0006054482368022251,0,17
0.45033569335937507,4.617775228643342,0.0006881357253687437,0,17
0.45033569335937507,4.615779038327353,0.0008011792405165363,0,17
0.45033569335937507,4.613782848011364,0.0009446115643422515,0,17
0.45033569335937507,4.611786657695375,0.0011184653328545624,0,17
0.45033569335937507,4.609790467379386,0.0013227730350069966,0,17
0.45033569335937507,4.607794277063397,0.0015575670116076135,0,17
0.45033569335937507,4.605798086747408,0.0018228794543923288,0,17
0.45033569335937507,4.60380189643142,0.002118742404996793,0,17
0.45033569335937507,4.601805706115431,0.0024451877538886335,0,17
0.45033569335937507,4.599809515799442,0.0027524500703253463,0,19
0.45033569335937507,4.598377130681818,0.002470720719106534,0,19
0.45033569335937507,4.597813325483453,0.002363976838525017,0,19
0.45033569335937507,4.595817135167464,0.002004893437094757,0,19
0.45033569335937507,4.593820944851475,0.0016752333605880854,0,19
0.45033569335937507,4.591824754535486,0.0013750299736013105,0,19
0.45033569335937507,4.589828564219498,0.0011043165099059726,0,19
0.45033569335937507,4.587832373903509,0.0008631260714968003,0,19
0.45033569335937507,4.58583618358752,0.0006514916277501892,0,19
0.45033569335937507,4.583839993271531,0.0004694460143729595,0,19
0.45033569335937507,4.581843802955542,0.0003170219326426027,0,19
0.45033569335937507,4.579847612639553,0.00019425194832595194,0,19
0.45033569335937507,4.5778514223235645,0.00010116849085728408,0,19
0.45033569335937507,4.575855232007576,3.780385238738582e-05,0,19
0.45033569335937507,4.573859041691587,4.190186792818462e-06,0,19
0.45033569335937507,4.571862851375598,3.5950882742996626e-07,0,19
0.45033569335937507,4.569866661059609,2.6343693096897436e-05,0,19
0.45033569335937507,4.56787047074362,8.217447318439874e-05,0,19
0.45033569335937507,4.565874280427631,0.00016788344063414784,0,19
0.45033569335937507,4.5638780901116425,0.0002835020440917768,0,19
0.45033569335937507,4.561881899795654,0.0004290615882534543,0,19
0.45033569335937507,4.559885709479665,0.0006045932329917236,0,19
0.45033569335937507,4.557889519163676,0.0008101279923216353,0,19
0.45033569335937507,4.555893328847688,0.0010456967335275569,0,19
0.45033569335937507,4.553897138531699,0.0013113301761072949,0,19
0.45033569335937507,4.55190094821571,0.0016070588908680405,0,19
0.45033569335937507,4.549904757899721,0.0019329132989247544,0,19
0.45033569335937507,4.549188565340909,0.002057172227542564,0,19
0.45033569335937507,4.5479085675837325,0.0022889236707355765,0,19
0.45033569335937507,4.545912377267744,0.0026751201251374868,0,19
0.45033569335937507,4.543916186951755,0.0030915326282971445,0,19
0.45033569335937507,4.541919996635766,0.003538190992852158,0,19
0.45033569335937507,4.539923806319777,0.0040151248768107994,0,19
0.45033569335937507,4.537927616003788,0.004522363782622524,0,19
0.45033569335937507,4.535931425687799,0.00505993705611632,0,19
0.45033569335937507,4.5339352353718105,0.005627873885621193,0,19
0.45033569335937507,4.531939045055822,0.006226203300890104,0,19
0.45033569335937507,4.529942854739833,0.00685495417205953,0,19
0.45033569335937507,4.527946664423844,0.00751415520872406,0,19
0.45033569335937507,4.525950474107855,0.008203834958898343,0,19
0.45033569335937507,4.523954283791866,0.00892402180799573,0,19
0.45033569335937507,4.521958093475877,0.009674743977839989,0,19
0.45033569335937507,4.5199619031598885,0.010456029525575505,0,19
0.45033569335937507,4.5179657128439,0.011267906342749656,0,19
0.45033569335937507,4.515969522527911,0.01211040215424078,0,19
0.45033569335937507,4.513973332211922,0.012983544517167572,0,19
0.45033569335937507,4.511977141895933,0.013887360819991451,0,19
0.45033569335937507,4.509980951579944,0.014821878281351175,0,19
0.45033569335937507,4.507984761263955,0.01578712394911233,0,19
0.45033569335937507,4.505988570947967,0.016783124699302127,0,19
