,-100 s,-99 s,-98 s,-97 s,-96 s,-95 s,-94 s,-93 s,-92 s,-91 s,-90 s,-89 s,-88 s,-87 s,-86 s,-85 s,-84 s,-83 s,-82 s,-81 s,-80 s,-79 s,-78 s,-77 s,-76 s,-75 s,-74 s,-73 s,-72 s,-71 s,-70 s,-69 s,-68 s,-67 s,-66 s,-65 s,-64 s,-63 s,-62 s,-61 s,-60 s,-59 s,-58 s,-57 s,-56 s,-55 s,-54 s,-53 s,-52 s,-51 s,-50 s,-49 s,-48 s,-47 s,-46 s,-45 s,-44 s,-43 s,-42 s,-41 s,-40 s,-39 s,-38 s,-37 s,-36 s,-35 s,-34 s,-33 s,-32 s,-31 s,-30 s,-29 s,-28 s,-27 s,-26 s,-25 s,-24 s,-23 s,-22 s,-21 s,-20 s,-19 s,-18 s,-17 s,-16 s,-15 s,-14 s,-13 s,-12 s,-11 s,-10 s,-9 s,-8 s,-7 s,-6 s,-5 s,-4 s,-3 s,-2 s,-1 s,0 s,1 s,2 s,3 s,4 s,5 s,6 s,7 s,8 s,9 s,10 s,11 s,12 s,13 s,14 s,15 s,16 s,17 s,18 s,19 s,20 s,21 s,22 s,23 s,24 s,25 s,26 s,27 s,28 s,29 s,30 s,31 s,32 s,33 s,34 s,35 s,36 s,37 s,38 s,39 s,40 s,41 s,42 s,43 s,44 s,45 s,46 s,47 s,48 s,49 s,50 s,51 s,52 s,53 s,54 s,55 s,56 s,57 s,58 s,59 s,60 s,61 s,62 s,63 s,64 s,65 s,66 s,67 s,68 s,69 s,70 s,71 s,72 s,73 s,74 s,75 s,76 s,77 s,78 s,79 s,80 s,81 s,82 s,83 s,84 s,85 s,86 s,87 s,88 s,89 s,90 s,91 s,92 s,93 s,94 s,95 s,96 s,97 s,98 s,99 s,100 s
第130节龙身y (m),10.202266,9.488265,8.725638,7.918319,7.070495,6.186583,5.27121,4.329192,3.365505,2.385261,1.393685,0.396085,-0.602177,-1.595712,-2.579133,-3.547083,-4.494269,-5.415486,-6.305649,-7.159822,-7.973245,-8.741362,-9.459849,-10.124638,-10.731944,-11.278283,-11.760503,-12.175793,-12.521712,-12.796198,-12.997587,-13.124622,-13.176467,-13.152713,-13.053384,-12.878938,-12.630272,-12.308718,-11.916036,-11.454413,-10.926448,-10.335141,-9.683882,-8.97643,-8.216896,-7.409718,-6.559643,-5.671695,-4.751149,-3.803504,-2.834448,-1.849825,-0.855603,0.142162,1.137364,2.123884,3.095625,4.046553,4.970734,5.862371,6.715842,7.525737,8.286893,8.99443,9.643784,10.230736,10.751447,11.202479,11.580828,11.883941,12.10974,12.256637,12.323551,12.309915,12.215692,12.041371,11.787974,11.457052,11.050679,10.571443,10.022432,9.407222,8.729849,7.994795,7.206954,6.371607,5.494383,4.581234,3.638384,2.672299,1.689637,0.697208,-0.298078,-1.289252,-2.269339,-3.231409,-4.16862,-5.074277,-5.941873,-6.765144,-7.538111,-8.244299,-8.880379,-9.46289,-9.984245,-10.433307,-10.804291,-11.097346,-11.307898,-11.435278,-11.478001,-11.442931,-11.381147,-11.27344,-11.030589,-10.545391,-10.023081,-9.516647,-8.893034,-8.245863,-7.518382,-6.710583,-5.912586,-4.992333,-4.093368,-3.148389,-2.143894,-1.202082,-0.163757,0.814279,1.790287,2.79409,3.693392,4.641819,5.502447,6.312663,7.11041,7.783512,8.446524,9.008493,9.48588,9.907141,10.210758,10.447874,10.584675,10.628442,10.576919,10.440463,10.200044,9.87146,9.47174,8.9515,8.396947,7.731918,6.999793,6.244133,5.36527,4.509074,3.569319,2.591397,1.649958,0.609905,-0.356634,-1.354324,-2.354413,-3.263608,-4.221537,-5.071542,-5.891483,-6.673557,-7.333254,-7.976545,-8.499728,-8.943472,-9.309536,-9.555681,-9.721926,-9.778495,-9.735989,-9.584367,-9.350034,-8.993606,-8.55628,-8.03857,-7.39832,-6.737236,-5.949155,-5.120215,-4.263268,-3.29666,-2.377916,-1.369626,-0.364623,0.599937,1.632118,2.559957,3.509669,4.412083,5.21514,6.020713,6.692701
第131节龙身x (m),8.067813,8.846276,9.577559,10.257776,10.883294,11.450753,11.957082,12.399521,12.775639,13.083343,13.320899,13.486939,13.580472,13.600893,13.547989,13.42194,13.223327,12.953126,12.612707,12.203831,11.728642,11.189658,10.589761,9.932181,9.220485,8.458555,7.650571,6.800991,5.914525,4.996113,4.050898,3.084197,2.101473,1.108308,0.110366,-0.886635,-1.876955,-2.854868,-3.814692,-4.750824,-5.657775,-6.530198,-7.362927,-8.151004,-8.88971,-9.574598,-10.201519,-10.766651,-11.266521,-11.698032,-12.058485,-12.345595,-12.55751,-12.692827,-12.750604,-12.730366,-12.632115,-12.456335,-12.203989,-11.876519,-11.475842,-11.004342,-10.464853,-9.860656,-9.195451,-8.473344,-7.698822,-6.876726,-6.012228,-5.110794,-4.178156,-3.220277,-2.243312,-1.253571,-0.257478,0.738466,1.727732,2.703799,3.660202,4.590574,5.488686,6.348497,7.164189,7.930212,8.641324,9.292625,9.879602,10.398153,10.844626,11.215847,11.509142,11.722365,11.853916,11.902756,11.868419,11.751024,11.551275,11.270461,10.910459,10.473718,9.963248,9.392278,8.768966,8.077508,7.321106,6.512108,5.661088,4.767086,3.842869,2.891807,1.851352,1.021766,0.429067,-0.247544,-1.285758,-2.695972,-3.81688,-4.701013,-5.616518,-6.424427,-7.204166,-7.945604,-8.573417,-9.188784,-9.692072,-10.127836,-10.49458,-10.753156,-10.945658,-11.038878,-11.045276,-10.957723,-10.792616,-10.520857,-10.176165,-9.751994,-9.219957,-8.660041,-7.97698,-7.255265,-6.487377,-5.613854,-4.769946,-3.816731,-2.861146,-1.910187,-0.875294,0.078121,1.098312,2.087152,3.017633,3.991279,4.848713,5.713522,6.517408,7.223243,7.917961,8.485966,9.002784,9.434731,9.756535,10.010226,10.152262,10.203566,10.154279,10.016063,9.764257,9.436894,9.011422,8.481656,7.913099,7.211006,6.481748,5.68242,4.791301,3.926807,2.943311,1.982985,1.007379,-0.028711,-0.976471,-1.994759,-2.946882,-3.851399,-4.7678,-5.556226,-6.345063,-7.038281,-7.635867,-8.186994,-8.604177,-8.952574,-9.191662,-9.321394,-9.35019,-9.273891,-9.086297,-8.79147,-8.415908,-7.905638,-7.345601
第131节龙身y (m),11.266003,10.64027,9.960012,9.228708,8.450116,7.628261,6.767411,5.87206,4.946903,3.996811,3.026812,2.042061,1.047813,0.049397,-0.947811,-1.938421,-2.917052,-3.878368,-4.817103,-5.72809,-6.606295,-7.446837,-8.245027,-8.996386,-9.696677,-10.341926,-10.928452,-11.452883,-11.912185,-12.303672,-12.625033,-12.874344,-13.05008,-13.151129,-13.176804,-13.126844,-13.001423,-12.801153,-12.527081,-12.180688,-11.763882,-11.278995,-10.728766,-10.116331,-9.44521,-8.719285,-7.942783,-7.120252,-6.256536,-5.356749,-4.426247,-3.470596,-2.495542,-1.506975,-0.510896,0.486618,1.479454,2.461497,3.426668,4.368965,5.282498,6.161528,7.000502,7.794094,8.537236,9.225153,9.8534,10.417885,10.914907,11.341176,11.693841,11.970513,12.169281,12.288732,12.327962,12.286586,12.164747,11.963121,11.682911,11.325849,10.894187,10.390687,9.818607,9.181682,8.484104,7.730498,6.925893,6.075693,5.18564,4.26178,3.310425,2.338107,1.351538,0.357566,-0.636877,-1.62482,-2.599302,-3.55342,-4.480385,-5.373563,-6.226533,-7.020811,-7.751905,-8.438793,-9.073394,-9.642727,-10.139457,-10.563894,-10.909599,-11.175422,-11.368922,-11.453588,-11.477093,-11.466488,-11.372084,-11.087399,-10.723445,-10.341184,-9.845349,-9.310128,-8.689795,-7.982827,-7.269134,-6.430161,-5.596193,-4.705751,-3.744915,-2.831332,-1.810275,-0.83526,0.150812,1.179244,2.113811,3.114362,4.037349,4.921626,5.809976,6.576728,7.352423,8.032121,8.63365,9.195037,9.633127,10.021234,10.308561,10.501366,10.611228,10.622723,10.539836,10.363139,10.105557,9.733137,9.307863,8.772201,8.159175,7.506893,6.728288,5.952482,5.083956,4.163196,3.26165,2.249192,1.293055,0.290518,-0.730984,-1.675078,-2.687405,-3.603012,-4.504604,-5.385393,-6.148877,-6.918346,-7.570962,-8.155174,-8.67649,-9.072142,-9.407348,-9.627868,-9.750955,-9.774163,-9.69882,-9.512165,-9.232509,-8.863488,-8.372585,-7.838698,-7.176321,-6.456085,-5.690922,-4.806477,-3.947193,-2.984927,-2.006674,-1.050043,-0.006649,0.949678,1.948393,2.918617,3.802754,4.714235,5.499398
第132节龙身x (m),6.688961,7.536264,8.343298,9.105814,9.819774,10.481379,11.087089,11.633641,12.118072,12.537734,12.890311,13.173835,13.386696,13.527658,13.595862,13.59084,13.512514,13.361203,13.137626,12.842895,12.478517,12.046387,11.54878,10.98834,10.368073,9.691327,8.961778,8.183417,7.36052,6.497635,5.599555,4.671293,3.718054,2.745209,1.758266,0.762837,-0.235392,-1.230691,-2.217322,-3.189572,-4.141783,-5.068388,-5.963945,-6.823167,-7.640956,-8.412434,-9.132974,-9.79823,-10.404164,-10.947071,-11.423609,-11.830815,-12.166131,-12.427422,-12.612991,-12.721591,-12.752443,-12.705235,-12.580137,-12.377798,-12.099348,-11.746392,-11.321011,-10.825744,-10.263583,-9.637953,-8.952697,-8.212054,-7.420637,-6.583402,-5.705625,-4.792868,-3.850944,-2.885885,-1.903902,-0.911349,0.085322,1.079597,2.064948,3.034869,3.982927,4.902799,5.78832,6.633522,7.432678,8.180341,8.871386,9.501045,10.064944,10.559136,10.980133,11.324931,11.591038,11.776497,11.879899,11.900404,11.837748,11.692251,11.46482,11.156949,10.77071,10.316596,9.802026,9.213992,8.554509,7.833952,7.061718,6.236866,5.371085,4.467504,3.465253,2.656262,2.073019,1.401865,0.36085,-1.075644,-2.237315,-3.167406,-4.145062,-5.022087,-5.883744,-6.720289,-7.445594,-8.177112,-8.797265,-9.359162,-9.863424,-10.254014,-10.595434,-10.832167,-10.984991,-11.051544,-11.027745,-10.908677,-10.706226,-10.419705,-10.027485,-9.589684,-9.031796,-8.421458,-7.753877,-6.976033,-6.208883,-5.326266,-4.426047,-3.516026,-2.510418,-1.57022,-0.5495,0.454776,1.41399,2.433789,3.347145,4.285188,5.175371,5.975088,6.783976,7.467567,8.115591,8.688446,9.149843,9.562069,9.855458,10.067124,10.182982,10.199004,10.114386,9.939965,9.666869,9.287908,8.851904,8.285529,7.673535,6.98149,6.188843,5.401917,4.487843,3.577726,2.636432,1.618902,0.671972,-0.363202,-1.348892,-2.302871,-3.289389,-4.157298,-5.04778,-5.854252,-6.574541,-7.269985,-7.829556,-8.339659,-8.745384,-9.040144,-9.251221,-9.344102,-9.335416,-9.216724,-9.003871,-8.663853,-8.252896
第132节龙身y (m),12.172241,11.643448,11.055047,10.410014,9.711633,8.963482,8.169415,7.333542,6.460212,5.553991,4.619638,3.662081,2.686395,1.697771,0.701494,-0.297088,-1.292592,-2.279627,-3.252827,-4.206875,-5.136537,-6.03669,-6.90235,-7.7287,-8.511121,-9.245216,-9.926836,-10.552107,-11.117452,-11.619616,-12.055682,-12.423094,-12.719674,-12.943633,-13.09359,-13.168579,-13.16806,-13.091923,-12.940493,-12.714534,-12.415242,-12.044248,-11.603608,-11.095795,-10.523687,-9.890555,-9.200047,-8.456164,-7.663249,-6.825952,-5.949215,-5.038238,-4.098453,-3.13549,-2.155148,-1.163359,-0.166153,0.830378,1.820115,2.796954,3.75484,4.687805,5.590008,6.455772,7.279621,8.056313,8.78088,9.448659,10.055323,10.596914,11.069871,11.471055,11.797771,12.047795,12.219386,12.311307,12.322831,12.253758,12.104412,11.875652,11.568863,11.185959,10.729367,10.202022,9.607347,8.949237,8.232033,7.460503,6.639805,5.775462,4.873323,3.939527,2.980463,2.002728,1.013083,0.018404,-0.974361,-1.958242,-2.926298,-3.871666,-4.787608,-5.654014,-6.465326,-7.242589,-7.977394,-8.65519,-9.267255,-9.814064,-10.287459,-10.68585,-11.025665,-11.227926,-11.335948,-11.422337,-11.477832,-11.398906,-11.200386,-10.94991,-10.591885,-10.179577,-9.679231,-9.087863,-8.473507,-7.733626,-6.98249,-6.165764,-5.269429,-4.404023,-3.422678,-2.472261,-1.498086,-0.468087,0.48065,1.510587,2.474808,3.412765,4.371088,5.213547,6.083619,6.864862,7.576069,8.263926,8.825687,9.355047,9.785507,10.12218,10.390167,10.548755,10.624781,10.603655,10.493927,10.27786,9.991818,9.598254,9.119088,8.586064,7.926861,7.250697,6.475139,5.63478,4.796063,3.837164,2.916141,1.934867,0.918766,-0.035251,-1.074981,-2.031573,-2.990375,-3.945789,-4.79199,-5.666187,-6.429847,-7.137864,-7.799348,-8.332852,-8.826897,-9.204429,-9.488874,-9.685444,-9.770499,-9.758177,-9.643517,-9.43319,-9.105252,-8.713628,-8.195909,-7.605247,-6.954285,-6.178189,-5.404061,-4.516866,-3.595175,-2.675896,-1.653678,-0.698828,0.317308,1.324359,2.261066,3.248763,4.121241
第133节龙身x (m),5.212352,6.11637,6.987552,7.821346,8.613373,9.359456,10.055638,10.698208,11.283719,11.809011,12.271228,12.667837,12.996641,13.255795,13.443818,13.559604,13.602428,13.571958,13.468254,13.291774,13.043372,12.724299,12.336197,11.881093,11.361392,10.779865,10.139636,9.444171,8.697257,7.902983,7.065725,6.190117,5.28103,4.343547,3.382933,2.40461,1.414124,0.417117,-0.580708,-1.573616,-2.555872,-3.521781,-4.465713,-5.38214,-6.265672,-7.111084,-7.913352,-8.667682,-9.369542,-10.01469,-10.5992,-11.119492,-11.572352,-11.954956,-12.264892,-12.500173,-12.659259,-12.741062,-12.744966,-12.670824,-12.518972,-12.290225,-11.985877,-11.607701,-11.157935,-10.639275,-10.054866,-9.408278,-8.703493,-7.94488,-7.137174,-6.285443,-5.395064,-4.471688,-3.521207,-2.549718,-1.563482,-0.568891,0.427578,1.419406,2.400067,3.363079,4.302045,5.210693,6.082924,6.91285,7.69484,8.423555,9.093993,9.701518,10.241903,10.711359,11.106562,11.424686,11.663423,11.821003,11.896214,11.888416,11.797545,11.624125,11.369266,11.040541,10.644492,10.171167,9.621373,9.003318,8.325053,7.585682,6.795591,5.957615,5.013803,4.241838,3.679948,3.027995,2.00561,0.572637,-0.605501,-1.561966,-2.581054,-3.508485,-4.433551,-5.347107,-6.154092,-6.985686,-7.708952,-8.384398,-9.01475,-9.528372,-10.010705,-10.385232,-10.68058,-10.899205,-11.016729,-11.052457,-10.996273,-10.853361,-10.609331,-10.30316,-9.88274,-9.397386,-8.845145,-8.180658,-7.507847,-6.716217,-5.892322,-5.044581,-4.092017,-3.187408,-2.19062,-1.195151,-0.230523,0.810451,1.757195,2.745154,3.699324,4.57272,5.475163,6.256752,7.019138,7.717835,8.306518,8.866088,9.302662,9.668551,9.945849,10.115035,10.199106,10.181564,10.067417,9.848692,9.556331,9.140315,8.661623,8.095205,7.422264,6.734195,5.914496,5.079661,4.198833,3.228378,2.309039,1.286482,0.29556,-0.680223,-1.708001,-2.629776,-3.595372,-4.490823,-5.311907,-6.130263,-6.814768,-7.470416,-8.029655,-8.479633,-8.865603,-9.123943,-9.293529,-9.353781,-9.309493,-9.149605,-8.900037
第133节龙身y (m),12.908534,12.483926,11.9955,11.445698,10.837287,10.173353,9.457285,8.692756,7.883713,7.03435,6.149094,5.23258,4.289628,3.32522,2.344474,1.352616,0.354956,-0.643143,-1.636292,-2.619107,-3.586234,-4.532385,-5.452359,-6.341079,-7.193617,-8.005222,-8.771349,-9.487683,-10.150171,-10.755038,-11.298817,-11.778368,-12.190898,-12.53398,-12.80557,-13.004019,-13.128089,-13.176962,-13.150244,-13.047978,-12.87064,-12.619144,-12.294838,-11.8995,-11.435332,-10.904947,-10.311362,-9.65798,-8.948573,-8.187262,-7.378498,-6.527036,-5.637909,-4.716399,-3.768011,-2.798435,-1.813519,-0.819233,0.178369,1.173182,2.15909,3.130003,4.079891,5.002829,5.89303,6.744882,7.552987,8.312196,9.017643,9.664779,10.249403,10.767692,11.216227,11.592023,11.892546,12.115737,12.260028,12.324357,12.30818,12.211476,12.034754,11.779055,11.445947,11.037521,10.556381,10.00563,9.388856,8.710109,7.973879,7.185068,6.348964,5.471202,4.557734,3.614786,2.648821,1.666492,0.674603,-0.319944,-1.310194,-2.289185,-3.250003,-4.171312,-5.046611,-5.898597,-6.718704,-7.49111,-8.205896,-8.863698,-9.454823,-9.977283,-10.456023,-10.771362,-10.961409,-11.142694,-11.346443,-11.474211,-11.444692,-11.330783,-11.117604,-10.836469,-10.466277,-10.002669,-9.500407,-8.875118,-8.222682,-7.497055,-6.684438,-5.885895,-4.965595,-4.060577,-3.119762,-2.111039,-1.169313,-0.133137,0.850501,1.820772,2.827081,3.725779,4.669973,5.534425,6.338477,7.136371,7.808243,8.465926,9.028844,9.500875,9.920012,10.221336,10.45383,10.588173,10.628368,10.573286,10.432908,10.190531,9.856507,9.455468,8.931604,8.371601,7.70814,6.969102,6.214267,5.333196,4.470785,3.536004,2.551637,1.612611,0.572842,-0.399357,-1.389731,-2.39401,-3.299916,-4.254861,-5.108416,-5.920433,-6.703369,-7.359437,-7.997946,-8.521282,-8.958397,-9.322007,-9.564314,-9.725867,-9.77871,-9.732378,-9.576117,-9.337468,-8.978859,-8.534528,-8.016479,-7.371309,-6.705101,-5.919333,-5.08186,-4.227775,-3.257985,-2.334074,-1.332161,-0.319939,0.639618,1.671884,2.603444
第134节龙身x (m),3.658988,4.606882,5.529783,6.422904,7.28159,8.101348,8.877867,9.607042,10.285002,10.908123,11.473057,11.976748,12.416451,12.789747,13.09456,13.329171,13.492227,13.582755,13.600165,13.544261,13.415241,13.213699,12.94063,12.597419,12.185843,11.708061,11.166606,10.564373,9.904606,9.190884,8.427101,7.617447,6.76639,5.878649,4.95917,4.013103,3.045769,2.062637,1.069288,0.071389,-0.925343,-1.915169,-2.892368,-3.851261,-4.786251,-5.691857,-6.562741,-7.393745,-8.179923,-8.916568,-9.599246,-10.223822,-10.786489,-11.283789,-11.712644,-12.070369,-12.354699,-12.563799,-12.696285,-12.751232,-12.728185,-12.627165,-12.448672,-12.193688,-11.863672,-11.460559,-10.986747,-10.445088,-9.838874,-9.17182,-8.448043,-7.672041,-6.848665,-5.983093,-5.080799,-4.147519,-3.189219,-2.212054,-1.222334,-0.226482,0.769007,1.757608,2.73281,3.688157,4.617292,5.514,6.372254,7.186252,7.950461,8.659658,9.308965,9.893886,10.410344,10.854709,11.223829,11.515055,11.726265,11.855882,11.902892,11.866852,11.747903,11.550572,11.280413,10.930723,10.501099,9.997445,9.426316,8.786891,8.088059,7.332316,6.465797,5.746373,5.217181,4.597645,3.614725,2.214699,1.044482,0.081575,-0.957575,-1.915838,-2.884667,-3.855696,-4.726987,-5.640621,-6.45119,-7.225298,-7.967714,-8.592822,-9.205088,-9.708743,-10.139632,-10.504968,-10.760706,-10.949875,-11.040677,-11.044049,-10.953156,-10.785049,-10.511132,-10.161367,-9.736686,-9.200424,-8.637153,-7.954552,-7.225918,-6.460093,-5.582805,-4.735056,-3.785807,-2.822893,-1.876026,-0.839065,0.11799,1.131608,2.126161,3.051465,4.024786,4.884567,5.741826,6.548325,7.248933,7.941064,8.509112,9.019217,9.450144,9.767473,10.017333,10.156457,10.203574,10.150167,10.008582,9.753365,9.420226,8.994149,8.458624,7.887718,7.184429,6.447535,5.651293,4.754729,3.8886,2.907399,1.939334,0.969639,-0.069768,-1.018602,-2.030982,-2.988893,-3.886224,-4.802775,-5.591309,-6.372234,-7.067452,-7.658299,-8.206573,-8.621653,-8.963401,-9.19983,-9.324628,-9.348955,-9.26781
第134节龙身y (m),13.464913,13.150218,12.768423,12.321403,11.811378,11.240904,10.61286,9.930439,9.19713,8.416703,7.593193,6.730878,5.834257,4.908034,3.957086,2.986446,2.001272,1.006822,0.008427,-0.988539,-1.978685,-2.956635,-3.917054,-4.854682,-5.764359,-6.641055,-7.479902,-8.276218,-9.025534,-9.723625,-10.366531,-10.950582,-11.472423,-11.929032,-12.31774,-12.636254,-12.882663,-13.055462,-13.153555,-13.176273,-13.123371,-12.995042,-12.791916,-12.515055,-12.165957,-11.746549,-11.259175,-10.706591,-10.091947,-9.418777,-8.690974,-7.912777,-7.088743,-6.223727,-5.322849,-4.391472,-3.435167,-2.459684,-1.470913,-0.474858,0.522408,1.514772,2.496123,3.46039,4.401576,5.313801,6.191334,7.028636,7.820392,8.561548,9.247344,9.873351,10.435495,10.930091,11.353869,11.703996,11.978103,12.174299,12.291189,12.32789,12.284037,12.159793,11.95585,11.673432,11.314287,10.880683,10.375398,9.801704,9.163347,8.464532,7.709892,6.904463,6.053655,5.163213,4.239184,3.287879,2.315827,1.329735,0.33644,-0.657136,-1.644035,-2.602119,-3.524079,-4.433818,-5.322788,-6.174215,-6.977189,-7.732504,-8.42914,-9.06476,-9.672305,-10.093959,-10.361897,-10.634069,-10.98141,-11.312556,-11.452076,-11.476633,-11.412247,-11.267719,-11.035009,-10.708499,-10.328581,-9.830785,-9.29064,-8.671358,-7.95967,-7.245029,-6.405554,-5.565523,-4.678568,-3.713249,-2.799329,-1.779945,-0.798901,0.181828,1.213302,2.147716,3.144318,4.07195,4.950077,5.83923,6.60526,7.375501,8.057236,8.653039,9.21287,9.649248,10.032074,10.318068,10.506633,10.61323,10.621339,10.535451,10.35416,10.094439,9.718309,9.287903,8.752637,8.133037,7.480764,6.699516,5.917428,5.052864,4.125415,3.22559,2.212799,1.250452,0.254642,-0.771785,-1.713105,-2.722977,-3.643144,-4.536815,-5.419446,-6.179656,-6.944489,-7.598556,-8.175544,-8.695307,-9.08736,-9.417437,-9.635511,-9.753731,-9.772819,-9.6933,-9.503437,-9.217688,-8.847098,-8.351245,-7.81219,-7.150795,-6.422257,-5.658827,-4.770657,-3.905762,-2.948798,-1.962741,-1.010313,0.033971,0.994953
第135节龙身x (m),2.050797,3.029205,3.990757,4.930501,5.843576,6.725239,7.57089,8.376094,9.136611,9.848415,10.507717,11.110989,11.654983,12.136746,12.553647,12.903384,13.184004,13.393914,13.531892,13.597096,13.589075,13.507766,13.353508,13.127032,12.829468,12.462339,12.027556,11.527407,10.964552,10.34201,9.663142,8.931637,8.151494,7.327003,6.46272,5.563445,4.634197,3.680189,2.706796,1.719528,0.723999,-0.274104,-1.269052,-2.255112,-3.226571,-4.177778,-5.103173,-5.997319,-6.854941,-7.670949,-8.440478,-9.158913,-9.821921,-10.425479,-10.965897,-11.439848,-11.844388,-12.176975,-12.435492,-12.618259,-12.72405,-12.752101,-12.702122,-12.574299,-12.369299,-12.08827,-11.732835,-11.30509,-10.80759,-10.243342,-9.615784,-8.928773,-8.186558,-7.393761,-6.555349,-5.676603,-4.763091,-3.82063,-2.855253,-1.873174,-0.880742,0.115593,1.109321,2.093922,3.062899,4.00983,4.928402,5.812466,6.656069,7.4535,8.199331,8.888457,9.516131,10.077999,10.570139,10.989085,11.331858,11.59599,11.779548,11.881149,11.899976,11.837444,11.698025,11.478396,11.176972,10.797251,10.344184,9.817049,9.223079,8.56439,7.792283,7.139705,6.653783,6.079093,5.155464,3.816844,2.678529,1.729042,0.691398,-0.277685,-1.269916,-2.277882,-3.194929,-4.171021,-5.051396,-5.907334,-6.745542,-7.468314,-8.196845,-8.818258,-9.374829,-9.878368,-10.266209,-10.604096,-10.839342,-10.988391,-11.052105,-11.025328,-10.903548,-10.696788,-10.40885,-10.012585,-9.571369,-9.013122,-8.396263,-7.729859,-6.948067,-6.176867,-5.297368,-4.389708,-3.483083,-2.474932,-1.530617,-0.515927,0.494706,1.449141,2.469199,3.385681,4.316211,5.210012,6.004575,6.811335,7.495972,8.136752,8.709679,9.166396,9.574908,9.866433,10.072901,10.185503,10.197769,10.109404,9.930041,9.655076,9.270749,8.831908,8.263607,7.644334,6.954154,6.155891,5.366768,4.454112,3.535965,2.59969,1.578203,0.629513,-0.400378,-1.392806,-2.339972,-3.327486,-4.196392,-5.078922,-5.888799,-6.602166,-7.295459,-7.853947,-8.356602,-8.761086,-9.050275,-9.257131,-9.346081
第135节龙身y (m),13.833998,13.633368,13.363316,13.025131,12.620461,12.151302,11.61999,11.029196,10.381908,9.681424,8.931334,8.135499,7.298042,6.423319,5.515904,4.580562,3.622228,2.64598,1.657014,0.660615,-0.337868,-1.333051,-2.319546,-3.291989,-4.245067,-5.173552,-6.072328,-6.936417,-7.761013,-8.541504,-9.273506,-9.952882,-10.57577,-11.138608,-11.638153,-12.071505,-12.436124,-12.729847,-12.950904,-13.097929,-13.169973,-13.166515,-13.087462,-12.933156,-12.704378,-12.402342,-12.028695,-11.585508,-11.07527,-10.500874,-9.865604,-9.173121,-8.42744,-7.632912,-6.794198,-5.916249,-5.00427,-4.063699,-3.100173,-2.119491,-1.127587,-0.130492,0.865705,1.854888,2.830958,3.787865,4.719651,5.620482,6.484694,7.30682,8.081634,8.804181,9.469812,10.074219,10.613461,11.083994,11.482698,11.806897,12.054388,12.223449,12.312861,12.32192,12.250442,12.098774,11.86779,11.558895,11.174018,10.715604,10.186601,9.590446,8.931044,8.21275,7.440335,6.618968,5.754173,4.851803,3.917996,2.959138,1.981823,0.992802,-0.001057,-0.977248,-1.927802,-2.877363,-3.817565,-4.731021,-5.606052,-6.4436,-7.231547,-7.967266,-8.691013,-9.210146,-9.55031,-9.907561,-10.390966,-10.918054,-11.223184,-11.385234,-11.47047,-11.465086,-11.374244,-11.191201,-10.941197,-10.580969,-10.164183,-9.664066,-9.06818,-8.452499,-7.711673,-6.954601,-6.140613,-5.239641,-4.373487,-3.393307,-2.436572,-1.467233,-0.433729,0.515305,1.541661,2.511237,3.443194,4.402952,5.245208,6.109828,6.89414,7.599382,8.286284,8.846949,9.370496,9.800775,10.132641,10.397733,10.553551,10.625609,10.600846,10.488212,10.268446,9.977714,9.583372,9.098138,8.564311,7.902102,7.219753,6.447051,5.599936,4.762211,3.802378,2.874763,1.899459,0.877837,-0.073987,-1.111848,-2.07388,-3.02497,-3.983147,-4.826509,-5.696341,-6.462698,-7.163095,-7.823961,-8.354202,-8.842825,-9.219253,-9.497929,-9.691012,-9.77215,-9.75569,-9.636023,-9.422951,-9.090179,-8.6935,-8.175414,-7.576934,-6.926535,-6.146292,-5.366285,-4.483169,-3.55334,-2.637344,-1.613472,-0.653189
